,K-Means,Bisecting K-Means,GMM,Agglomerative (ward),NMF,DBSCAN,Spectral (k-NN),BIRCH
K-Means,1.0,0.3560952925979681,0.30717786405578723,0.25265533062159745,0.2980267152602926,0.030701447762301343,0.2136749733140538,0.23208720673874159
Bisecting K-Means,0.3560952925979681,1.0,0.188880388501912,0.1712249990600146,0.23164073530170695,0.03106926920668907,0.16827531600077503,0.15831849104472115
GMM,0.30717786405578723,0.188880388501912,1.0,0.1926617074856494,0.15669239586373213,0.06165408752837616,0.19596128706773383,0.2146273649288403
Agglomerative (ward),0.25265533062159745,0.1712249990600146,0.1926617074856494,1.0,0.1794828948764019,0.030372713693825847,0.1779960867785918,0.385644293933505
NMF,0.2980267152602926,0.23164073530170695,0.15669239586373213,0.1794828948764019,1.0,0.05685582024421335,0.18276319496511154,0.17691976954448685
DBSCAN,0.030701447762301343,0.03106926920668907,0.06165408752837616,0.030372713693825847,0.05685582024421335,1.0,0.01972424890779848,0.02947003225465603
Spectral (k-NN),0.2136749733140538,0.16827531600077503,0.19596128706773383,0.1779960867785918,0.18276319496511154,0.01972424890779848,1.0,0.20589111596984183
BIRCH,0.23208720673874159,0.15831849104472115,0.2146273649288403,0.385644293933505,0.17691976954448685,0.02947003225465603,0.20589111596984183,1.0
