,K-Means,Bisecting K-Means,GMM,Agglomerative (ward),NMF,DBSCAN,Spectral (k-NN)
K-Means,1.0,0.25117604262013404,0.38754530826747124,0.14924342338521743,0.2514773530240118,0.019724591566993847,0.13800768313174908
Bisecting K-Means,0.25117604262013404,1.0,0.201251220202818,0.08520229555232936,0.14573374414137058,0.007669515774549155,0.05651533711304097
GMM,0.38754530826747124,0.201251220202818,1.0,0.11768698319110434,0.2272830165082891,0.012539083892518144,0.08700884209759169
Agglomerative (ward),0.14924342338521743,0.08520229555232936,0.11768698319110434,1.0,0.13318474903970273,0.03612556323981187,0.13932600000266565
NMF,0.2514773530240118,0.14573374414137058,0.2272830165082891,0.13318474903970273,1.0,0.022718592528459453,0.1278657194465305
DBSCAN,0.019724591566993847,0.007669515774549155,0.012539083892518144,0.03612556323981187,0.022718592528459453,1.0,0.09972703216041075
Spectral (k-NN),0.13800768313174908,0.05651533711304097,0.08700884209759169,0.13932600000266565,0.1278657194465305,0.09972703216041075,1.0
