algorithm,purity,silhouette,davies_bouldin,calinski,n_clusters,coverage,sil_w,db_w,ch_w
K-Means,0.5068661108386464,0.009089596569538116,8.28674327278522,12.121036221882983,20,1.0,0.009089596569538116,8.28674327278522,12.121036221882983
NMF,0.5009808729769495,0.01564808003604412,8.25674111512669,10.417567165705062,20,1.0,0.01564808003604412,8.25674111512669,10.417567165705062
GMM,0.4861860389079614,0.00165503507014364,10.11909535135014,8.725899970594527,20,1.0,0.00165503507014364,10.11909535135014,8.725899970594527
Spectral (k-NN),0.47989210397253557,0.0070102219469845295,6.473631087824313,9.806700092160288,20,1.0,0.0070102219469845295,6.473631087824313,9.806700092160288
Bisecting K-Means,0.46452509400032693,-3.533545896061696e-05,11.54930611389383,8.396625490630354,20,1.0,-3.533545896061696e-05,11.54930611389383,8.396625490630354
Agglomerative (ward),0.45430766715710313,-0.008315305225551128,8.676625003649551,9.525728173639708,20,1.0,-0.008315305225551128,8.676625003649551,9.525728173639708
DBSCAN,0.029589668137976134,0.17559924721717834,2.32702660540469,17.866595730545264,13,0.07462808566290666,0.01310463566366551,31.181646758511473,1.3333498366836543
