dim,mean,std,explained_var
50,0.5212522478339054,0.0031857406032213325,0.118
100,0.526483570377636,0.010947285083643758,0.172
150,0.5158301999891014,0.01472134196887507,0.216
200,0.5131327993024902,0.009509330857442651,0.254
300,0.5179826712440739,0.008711673163817567,0.32
500,0.5229142826004033,0.009543696552424671,0.423
