antecedents,consequents,support,confidence,lift,leverage,conviction,score
"frozenset({'text', 'script'})",frozenset({'type'}),0.012914827529834886,0.9693251533742331,45.61047663992449,0.01263167268293881,31.907176720614633,3.6260407721879977
frozenset({'type'}),"frozenset({'text', 'script'})",0.012914827529834886,0.6076923076923076,45.610476639924485,0.01263167268293881,2.5150576823830724,0.285819763389896
frozenset({'text'}),"frozenset({'type', 'script'})",0.012914827529834886,0.587360594795539,40.597567891122175,0.012596709272985833,2.3883616328442225,0.27142159067390614
"frozenset({'type', 'script'})",frozenset({'text'}),0.012914827529834886,0.8926553672316384,40.59756789112217,0.012596709272985833,9.110954802405718,1.0354000880855367
"frozenset({'length', 'frame'})",frozenset({'parent'}),0.010871342161190126,0.9925373134328358,37.71025308241401,0.010583056051377198,130.47310773254827,13.603873640879206
frozenset({'parent'}),"frozenset({'length', 'frame'})",0.010871342161190126,0.41304347826086957,37.71025308241401,0.010583056051377198,1.6850428980558132,0.1756922254937115
"frozenset({'substr', 'frame'})",frozenset({'parent'}),0.021742684322380253,0.9568345323741008,36.353769158586175,0.021144598213962387,22.556917879134676,3.326107937711494
frozenset({'parent'}),"frozenset({'substr', 'frame'})",0.021742684322380253,0.8260869565217391,36.353769158586175,0.021144598213962387,5.619339545528854,0.8285941353879959
frozenset({'substr'}),"frozenset({'parent', 'length'})",0.010871342161190126,0.38328530259366,35.256484149855915,0.010562992011612477,1.6038674965890984,0.167228413115114
"frozenset({'parent', 'length'})",frozenset({'substr'}),0.010871342161190126,1.0,35.25648414985591,0.010562992011612477,inf,27.04933735061973
"frozenset({'parent', 'frame'})",frozenset({'substr'}),0.021742684322380253,0.9962546816479401,35.12443739274035,0.021123665601047677,259.4269249632166,38.25353973445155
frozenset({'substr'}),"frozenset({'parent', 'frame'})",0.021742684322380253,0.76657060518732,35.12443739274035,0.021123665601047677,4.190455863743425,0.617899510283688
"frozenset({'length', 'frame'})",frozenset({'substr'}),0.010871342161190126,0.9925373134328358,34.993376059185344,0.0105606735894352,130.19928069314986,13.57532286510503
frozenset({'substr'}),"frozenset({'length', 'frame'})",0.010871342161190126,0.38328530259366,34.993376059185344,0.0105606735894352,1.603734956510048,0.16721459372720265
"frozenset({'parent', 'length'})",frozenset({'frame'}),0.010871342161190126,1.0,34.46197183098592,0.010555883074446422,inf,27.04933735061973
"frozenset({'substr', 'parent'})",frozenset({'frame'}),0.021742684322380253,1.0,34.46197183098592,0.021111766148892843,inf,38.25353973445155
frozenset({'frame'}),"frozenset({'substr', 'parent'})",0.021742684322380253,0.7492957746478873,34.46197183098592,0.021111766148892843,3.9020376074781464,0.5753710825665209
frozenset({'frame'}),"frozenset({'parent', 'length'})",0.010871342161190126,0.37464788732394366,34.46197183098592,0.010555883074446422,1.5817147456431417,0.16491864039716497
"frozenset({'type', 'text'})",frozenset({'script'}),0.012914827529834886,0.9634146341463415,34.163520678685046,0.012536797769632433,26.562530652280586,3.0186568997010115
frozenset({'script'}),"frozenset({'type', 'text'})",0.012914827529834886,0.45797101449275357,34.163520678685046,0.012536797769632433,1.8201881492710328,0.20685241129610793
"frozenset({'substr', 'length'})",frozenset({'parent'}),0.010871342161190126,0.8636363636363638,32.81281761716545,0.010540028273793179,7.140319328646947,0.7444905972620489
frozenset({'parent'}),"frozenset({'substr', 'length'})",0.010871342161190126,0.41304347826086957,32.81281761716544,0.010540028273793179,1.6822577031829935,0.17540182512099461
"frozenset({'substr', 'length'})",frozenset({'frame'}),0.010871342161190126,0.8636363636363638,29.762612035851475,0.010506073744960572,7.120538390278465,0.7424281233106009
frozenset({'frame'}),"frozenset({'substr', 'length'})",0.010871342161190126,0.37464788732394366,29.762612035851475,0.010506073744960572,1.5789698477290433,0.16463244161620966
frozenset({'parent'}),frozenset({'substr'}),0.021742684322380253,0.8260869565217391,29.124921689011405,0.020996152381297522,5.586909432728462,0.8238121852924981
frozenset({'substr'}),frozenset({'parent'}),0.021742684322380253,0.76657060518732,29.124921689011405,0.020996152381297522,4.171196644849309,0.6150596612767855
"frozenset({'substr', 'parent'})",frozenset({'length'}),0.010871342161190126,0.5,28.990521327014218,0.010496345725680707,1.9655059669772765,0.20493491172114306
frozenset({'length'}),"frozenset({'substr', 'parent'})",0.010871342161190126,0.6303317535545023,28.990521327014214,0.010496345725680707,2.646311456512535,0.27591959212470596
frozenset({'length'}),"frozenset({'parent', 'frame'})",0.010871342161190126,0.6303317535545023,28.881942595452365,0.010494935964644958,2.6460903409162357,0.2758965373459522
"frozenset({'parent', 'frame'})",frozenset({'length'}),0.010871342161190126,0.49812734082397003,28.881942595452365,0.010494935964644958,1.9581719894885554,0.2041702292147209
frozenset({'type'}),frozenset({'text'}),0.013405264018309628,0.6307692307692307,28.687103231341148,0.012937971663616103,2.648782763882077,0.30667899237076285
frozenset({'text'}),frozenset({'type'}),0.013405264018309628,0.6096654275092936,28.687103231341148,0.012937971663616103,2.507458526977899,0.29031631621538834
frozenset({'parent'}),frozenset({'frame'}),0.021824423737126043,0.829192546583851,28.57561018283615,0.021060680685009703,5.68466122728016,0.8398002140061614
frozenset({'frame'}),frozenset({'parent'}),0.021824423737126043,0.752112676056338,28.575610182836147,0.021060680685009703,3.9279132670500987,0.5802742275012519
"frozenset({'substr', 'frame'})",frozenset({'length'}),0.010871342161190126,0.4784172661870504,27.739131917215044,0.01047942859325171,1.8841746855851134,0.19645484640854402
frozenset({'length'}),"frozenset({'substr', 'frame'})",0.010871342161190126,0.6303317535545023,27.73913191721504,0.01047942859325171,2.643658069356941,0.2756429347796611
frozenset({'substr'}),frozenset({'frame'}),0.022723557299329736,0.8011527377521614,27.609303080732236,0.021900517426396912,4.883056959341158,0.7360883599205571
frozenset({'frame'}),frozenset({'substr'}),0.022723557299329736,0.7830985915492957,27.609303080732232,0.021900517426396912,4.479622470058958,0.6752732938617761
frozenset({'length'}),frozenset({'substr'}),0.012587869870851724,0.7298578199052131,25.732220659136537,0.01209868279144658,3.596759390711533,0.40354085377887267
frozenset({'substr'}),frozenset({'length'}),0.012587869870851724,0.4438040345821326,25.732220659136537,0.01209868279144658,1.766918576531386,0.1982406253731004
frozenset({'type'}),frozenset({'script'}),0.014467876410004904,0.6807692307692308,24.14066889632107,0.01386856093651321,3.044192463822923,0.3661630370525216
frozenset({'script'}),frozenset({'type'}),0.014467876410004904,0.5130434782608695,24.140668896321067,0.01386856093651321,2.009928419626801,0.24175918675802047
frozenset({'length'}),frozenset({'parent'}),0.010871342161190126,0.6303317535545023,23.948691531011743,0.010417399107678724,2.6339289831197625,0.27462852451449676
frozenset({'parent'}),frozenset({'length'}),0.010871342161190126,0.41304347826086957,23.948691531011743,0.010417399107678724,1.6743198977954579,0.1745741840587515
frozenset({'length'}),frozenset({'frame'}),0.010953081575935917,0.6350710900473934,21.88580201588679,0.010452616408244774,2.66074427452554,0.2784654363398224
frozenset({'frame'}),frozenset({'length'}),0.010953081575935917,0.37746478873239436,21.88580201588679,0.010452616408244774,1.5786303580926089,0.16521467158430178
frozenset({'script'}),frozenset({'text'}),0.01332352460356384,0.47246376811594204,21.48744140940682,0.012703463594451278,1.8539240308489942,0.21399395136626795
frozenset({'text'}),frozenset({'script'}),0.01332352460356384,0.6059479553903345,21.487441409406816,0.012703463594451278,2.4661714491935554,0.28466418492775347
frozenset({'script'}),frozenset({'com'}),0.010217426843223803,0.36231884057971014,12.664596273291925,0.009410656013523444,1.5233180257702084,0.15397894852669505
frozenset({'com'}),frozenset({'script'}),0.010217426843223803,0.35714285714285715,12.664596273291925,0.009410656013523444,1.5116887363086482,0.1528034449659739
frozenset({'type'}),frozenset({'document'}),0.010380905672715383,0.48846153846153845,12.195588697017268,0.009529703985727177,1.8765894628675663,0.19119956321144815
frozenset({'document'}),frozenset({'type'}),0.010380905672715383,0.25918367346938775,12.195588697017268,0.009529703985727177,1.3211746516842597,0.1346101645173175
frozenset({'text'}),frozenset({'document'}),0.010707863331698545,0.4869888475836431,12.158819512935285,0.009827196970929979,1.871202374944618,0.1936297879099299
frozenset({'document'}),frozenset({'text'}),0.010707863331698545,0.2673469387755102,12.158819512935285,0.009827196970929979,1.3348911636277363,0.1381329440134599
frozenset({'script'}),frozenset({'document'}),0.01160699689390224,0.4115942028985507,10.276415261756876,0.010477517732321737,1.6314381868828771,0.1757642549983678
frozenset({'document'}),frozenset({'script'}),0.01160699689390224,0.2897959183673469,10.276415261756876,0.010477517732321737,1.368338942348345,0.1474190543784161
frozenset({'document'}),frozenset({'com'}),0.011034820990681708,0.2755102040816327,9.630262390670556,0.009888972565889893,1.34079349400309,0.14084600729529534
frozenset({'com'}),frozenset({'document'}),0.011034820990681708,0.38571428571428573,9.630262390670554,0.009888972565889893,1.562705536609753,0.16415714753552382
