k,sil,db,ch,inertia
2,0.03938216006970216,5.070809684799539,221.58340664626206,18715.7
3,0.03971215711497418,4.5989581660041265,301.8569270615044,18368.5
4,0.04545516541507353,5.119591774647532,267.9020419032808,18191.8
5,0.0530492705679339,5.1859164536224664,250.6284187395739,18019.6
6,0.05353373606799263,4.744903910323015,244.78045399887898,17831.5
7,0.0568281215776335,5.415818354360709,230.88457131316693,17696.8
8,0.061503465612912575,5.102672181653713,218.24957705069673,17579.6
9,0.059161197319646294,5.133617198998923,202.4814649842462,17504.6
10,0.06142447886972635,5.063683041564024,192.52315163086993,17413.6
11,0.06686996764083815,4.8158513949287896,192.70178030380956,17259.2
12,0.06701287758031305,4.93642793308286,187.4776968484921,17153.2
13,0.05835764511063761,4.990957188045907,175.35025048023394,17120.6
14,0.06113637300139867,4.889901385412172,171.39009795547153,17025.0
15,0.06538190940078549,4.759275742069707,170.86188738607163,16900.2
16,0.07800333434474349,4.284597205519381,183.46892593045558,16632.5
17,0.0699116463996175,4.522765360366007,162.34534878139496,16746.2
18,0.08328021400671787,4.434814848233224,172.94470954772956,16495.9
19,0.07836407525098875,4.462765563285325,162.5147650702695,16506.4
20,0.08360917841686792,4.285512170893654,162.2508828702276,16393.6
25,0.10835224144284282,3.7564382783576002,174.7607709836712,15639.2
30,0.113410875524112,3.5253404803535053,164.7885776630015,15269.1
40,0.12293442459300542,3.055799042344102,159.10350133364054,14435.4
50,0.13268004914756043,2.7184877998894548,157.954031203204,13633.7
60,0.13480652221724976,2.487574900888888,160.20538547794894,12837.6
