k,silhouette,db,ch,inertia,space
120,0.0834,3.102,55.5,6418.3,SVD(100)
2,0.0056,12.162,28.1,11766.8,raw TF-IDF
3,0.0081,10.168,28.1,11702.1,raw TF-IDF
4,0.0084,11.394,24.5,11664.3,raw TF-IDF
5,0.0104,9.878,24.5,11608.6,raw TF-IDF
6,0.0023,8.562,23.7,11561.1,raw TF-IDF
7,-0.0008,8.537,20.2,11553.9,raw TF-IDF
8,0.0026,9.369,19.7,11518.9,raw TF-IDF
9,0.003,8.727,18.8,11489.8,raw TF-IDF
10,0.0033,8.852,17.6,11472.6,raw TF-IDF
11,0.0043,9.077,16.6,11459.5,raw TF-IDF
12,0.0044,8.864,15.6,11445.3,raw TF-IDF
13,0.0047,8.514,14.9,11430.7,raw TF-IDF
14,0.0055,8.604,14.4,11416.8,raw TF-IDF
15,0.0064,8.784,13.8,11401.5,raw TF-IDF
16,0.0074,8.415,13.5,11388.8,raw TF-IDF
17,0.0071,8.708,12.8,11381.1,raw TF-IDF
18,0.0082,8.537,12.6,11363.8,raw TF-IDF
19,0.0084,8.245,12.3,11352.4,raw TF-IDF
20,0.0088,8.218,11.9,11345.2,raw TF-IDF
21,0.0085,8.159,11.3,11339.9,raw TF-IDF
22,0.0094,8.377,11.1,11329.4,raw TF-IDF
23,0.0105,8.135,11.1,11310.4,raw TF-IDF
24,0.0086,8.128,10.5,11311.5,raw TF-IDF
25,0.0091,8.11,10.1,11307.0,raw TF-IDF
26,0.0113,7.965,10.2,11288.8,raw TF-IDF
27,0.0108,8.478,9.9,11285.5,raw TF-IDF
28,0.0108,8.117,9.7,11276.4,raw TF-IDF
29,0.0116,8.017,9.5,11268.6,raw TF-IDF
30,0.0118,8.282,9.3,11264.6,raw TF-IDF
31,0.0118,8.285,9.0,11263.6,raw TF-IDF
32,0.0117,7.868,8.9,11248.5,raw TF-IDF
33,0.0121,7.795,8.8,11242.1,raw TF-IDF
34,0.0127,7.895,8.7,11229.0,raw TF-IDF
