algorithm,purity_inherited,capture_1468_true,silhouette,davies_bouldin,calinski,n_clusters,coverage,sil_w,db_w,ch_w,space
K-Means,0.3878,0.2786,0.1399861109851158,3.3184304372193623,265.60199314495213,20,1.0,0.1399861109851158,3.3184304372193623,265.60199314495213,SVD(100)
Bisecting K-Means,0.39,0.2732,0.0503798399377571,4.438444288082008,185.71362110128797,20,1.0,0.0503798399377571,4.438444288082008,185.71362110128797,SVD(100)
GMM,0.3874,0.2623,-0.0277655649916766,4.484661672249315,141.863717931595,20,1.0,-0.0277655649916766,4.484661672249315,141.863717931595,SVD(100)
BIRCH,0.3916,0.2398,0.0373090418680948,3.4976423285906018,141.67769898318306,20,1.0,0.0373090418680948,3.4976423285906018,141.67769898318306,SVD(100)
K-Means,0.3896,0.25,0.0150203565135598,6.574520298029415,9.936948350165215,20,1.0,0.0150203565135598,6.574520298029415,9.936948350165215,raw TF-IDF
GMM,0.3874,0.2296,-2.5468767489655875e-05,12.793962091979152,4.772568368927336,20,1.0,-2.5468767489655875e-05,12.793962091979152,4.772568368927336,raw TF-IDF
Bisecting K-Means,0.3847,0.2214,0.0090526733547449,7.128884941602783,6.493591004223086,20,1.0,0.0090526733547449,7.128884941602783,6.493591004223086,raw TF-IDF
