algorithm,purity_inherited,capture_1468_true,silhouette,davies_bouldin,calinski,n_clusters,coverage,sil_w,db_w,ch_w
K-Means,0.3878,0.2786,0.1399861109851158,3.3184304372193623,265.60199314495213,20,1.0,0.1399861109851158,3.3184304372193623,265.60199314495213
Bisecting K-Means,0.39,0.2732,0.05037983993775716,4.438444288082008,185.71362110128794,20,1.0,0.05037983993775716,4.438444288082008,185.71362110128794
GMM,0.3874,0.2623,-0.027765564991676685,4.484661672249315,141.863717931595,20,1.0,-0.027765564991676685,4.484661672249315,141.863717931595
NMF,0.3897,0.2486,0.1317964612414825,3.207440298800338,219.24955651565983,20,1.0,0.1317964612414825,3.207440298800338,219.24955651565983
BIRCH,0.3916,0.2398,0.03730904186809485,3.4976423285906018,141.67769898318306,20,1.0,0.03730904186809485,3.4976423285906018,141.67769898318306
