linkage,cophenetic,sil_k5,ari_km_k5,purity_k5,big_k5,sil_k20,ari_km_k20,purity_k20,big_k20
single,0.3077,-0.021,-0.0,0.3832,3996,-0.1318,-0.0,0.3855,3981
complete,0.2918,-0.0021,0.066,0.3845,1276,-0.0012,0.131,0.4283,595
average,0.5875,0.039,-0.004,0.3857,3958,0.032,0.035,0.3917,3035
weighted,0.4683,0.0332,-0.002,0.3855,3922,0.0179,0.119,0.4158,1270
ward,0.1146,0.0378,0.309,0.416,2171,0.0165,0.215,0.4788,520
centroid,0.3305,0.037,-0.0,0.3835,3996,-0.0993,-0.0,0.3852,3979
