algorithm,k_best,silhouette,purity_inherited,purity_true1468
K-Means,60,0.23727425852110773,0.4037,0.342
Bisecting K-Means,60,0.1120639257353016,0.3988,0.3283
GMM (diag),50,-0.04976934312447927,0.3905,0.2868
BIRCH,60,0.12398450137055116,0.4007,0.3304
NMF,60,0.15750198003102686,0.3977,0.3488
