threshold,silhouette,balance
0.1,0.021117241384319366,0.06557377049180328
0.2,0.024807073606648467,0.06364468864468864
0.3,0.023869037889622666,0.07882882882882883
0.5,0.02502841267576393,0.07107061503416856
1.0,,1.0
