algorithm,k_best,silhouette,purity
K-Means,5,-0.0002516063104849309,0.4344
Bisecting K-Means,4,0.009561297483742237,0.4329
Agglomerative (ward),2,0.013200841844081879,0.3874
GMM (diag),4,0.007533908821642399,0.4258
Spectral (k-NN),30,0.008220234885811806,0.5234
NMF,20,0.01564808003604412,0.501
