k,sil,db,ch,inertia
2,0.0032040602527558804,9.992403882094447,13.590848293024909,19856.2
3,0.00518379919230938,9.913872584664452,14.366149537230482,19801.3
4,0.006345194298774004,11.529502971113454,12.880456106567307,19768.9
5,0.00707530602812767,11.841947664188819,11.782375952291966,19736.0
6,0.008448749780654907,10.825668158700731,11.496867534389345,19700.8
7,0.008771021850407124,13.348533441791444,10.344118100288634,19686.9
8,0.008989070542156696,12.726938253547992,9.528757221274004,19665.9
9,0.009195949882268906,12.67715781189046,8.945959789272809,19649.8
10,0.009755240753293037,12.506065551486703,8.583844889682876,19631.3
11,0.010234428569674492,12.296153855760792,8.320796494425174,19606.8
12,0.010664202272891998,12.433069267111776,8.038020985722723,19588.6
13,0.010555706918239594,12.33884187921647,7.477111670581608,19585.8
14,0.010957830585539341,11.894384655759877,7.261902833929344,19567.3
15,0.011345593258738518,11.52254633347399,7.2826529311098875,19540.3
16,0.012278980575501919,10.933419443527612,7.633812719799466,19496.5
17,0.011717715300619602,11.078297490298624,6.8648826888285495,19516.5
18,0.013224104419350624,11.126289603685416,7.069353539644236,19474.6
19,0.01313279289752245,10.724106555452423,6.849886500261154,19469.4
20,0.013657660223543644,10.629864243321666,6.809458169154863,19444.3
25,0.016373729333281517,9.730453928167478,6.969208953840786,19312.6
30,0.01704929769039154,9.20393530912387,6.5362026483978,19250.7
40,0.01784386672079563,7.883854345435036,6.083953955361125,19099.8
50,0.01780444197356701,7.162419675735806,5.712263535853398,18966.2
60,0.018025951460003853,6.627369522332207,5.45583755629623,18838.4
