k,sil,db,ch,inertia
2,0.013200841844081879,3.8257291416546564,25.933293526128768,11770.1
3,-0.007127746473997831,3.215474629605852,23.079480178891984,11722.5
4,-0.005720155313611031,9.62666741780836,21.299485657540405,11682.9
5,-0.00982110295444727,8.371003960227696,19.464428888951772,11652.8
6,-0.011205369606614113,7.66264325542808,17.941146155577897,11624.3
7,-0.010167421773076057,6.837999384390508,17.028640638311888,11603.1
8,-0.008715322241187096,6.812433617745036,16.05460105138133,11583.0
9,-0.0074073090218007565,8.437745343853765,15.09408016885568,11565.8
10,-0.007058248855173588,9.236748990608895,14.25430538083296,11549.9
11,-0.006302117835730314,8.752756992896543,13.588117831613225,11535.5
12,-0.006464781239628792,8.10177161084057,12.943812034840134,11523.5
13,-0.005769924260675907,8.248941921829962,12.295714714801852,11512.4
14,-0.005979581736028194,7.845300898245033,11.80054693590445,11501.6
15,-0.005587064195424318,8.01078417259163,11.319022217323528,11491.4
16,-0.006017048843204975,7.6452984819414365,10.79554888424344,11481.2
17,-0.0066194380633533,7.993715131653632,10.423831976319866,11471.3
18,-0.009278060868382454,7.881103572313013,10.075327136920775,11462.0
19,-0.008780403062701225,8.706786641199027,9.762801716029582,11453.2
20,-0.008315306156873703,8.676625003649551,9.525728173639708,11444.8
25,-0.007397486828267574,8.600966849769364,8.354398089536257,11406.4
30,-0.0071992576122283936,8.21841702675734,7.478711925125361,11372.1
40,-0.007804931607097387,7.706252996045978,6.435366788291235,11311.4
50,-0.007242274470627308,7.253331971535545,5.722069135071254,11260.4
60,-0.010683479718863964,6.663108348414787,5.211277640995928,11213.0
