k,sil,db,ch,inertia
2,0.00021572822879534215,3.0694247226461524,15.218996620531076,19849.3
3,-0.0006655596080236137,21.799460213318167,4.589738712228961,19881.1
4,-0.0005917748203501105,21.358296571852808,4.206244565134356,19870.2
5,-0.00043434600229375064,18.79981459654393,5.138181529159071,19839.3
6,-0.0007286909385584295,17.597021276323293,4.732920346805194,19828.7
7,-0.0006333976052701473,16.713652716992275,4.6838112856055645,19813.3
8,-0.002370718400925398,18.41556610948989,5.457746004624696,19774.0
9,-0.0021383403800427914,17.465470441557468,5.317376039737747,19760.5
10,-0.0020409501157701015,16.967717655906036,5.064669896074481,19751.6
11,-0.0041314177215099335,16.575550856507576,4.924264153057782,19736.6
12,-0.004115141928195953,15.714961872763874,4.749962424561018,19728.0
13,-0.0036215572617948055,15.100931759712644,4.823808227182861,19711.3
14,-0.001453911536373198,15.456067825629178,4.618433876184794,19708.0
15,-0.0019315199460834265,15.156056238190736,4.441774678832711,19697.7
16,-0.0018141885520890355,14.794646233971173,4.34945553480117,19687.4
17,-0.0016908792313188314,14.388957846129177,4.28964002837148,19675.1
18,-0.0011910432949662209,13.879862769754386,4.368232701565353,19659.6
19,-0.00172227225266397,13.551766437699643,4.2877052524341055,19646.9
20,-0.001221059588715434,12.965787348374246,4.357153925522698,19625.1
25,-0.0021824094001203775,11.60976663314653,4.348106695471167,19553.3
30,0.0003863151650875807,10.48004616203892,4.628825580159826,19459.7
40,0.0004490273422561586,9.249593762306873,4.472887139687963,19330.6
50,0.0022802315652370453,8.250659978934825,4.4366775700216445,19188.2
60,0.003514690324664116,7.780525532257221,4.238133648284394,19100.9
