k,sil,db,ch,inertia
2,0.0013843007618561387,4.693124564207554,5.943302515351603,19887.5
3,0.0010160539532080293,7.121860195344191,7.263874610202322,19860.1
4,0.0015075395349413157,6.644441861738913,8.573595178739703,19819.4
5,0.0017267274670302868,7.207066766497604,7.778404142431874,19798.6
6,0.0029755202122032642,7.2942574502616955,8.034070160404175,19765.3
7,0.0038164169527590275,7.756976570272804,7.860588227830495,19739.0
8,0.004681069869548082,7.7607350534426205,7.768290277002042,19711.9
9,0.0056825256906449795,7.781968162648379,7.835398435513209,19681.1
10,0.006898274179548025,7.505858547572802,8.355720703786721,19640.6
11,0.00775860995054245,7.331948320088995,8.328559553788407,19614.3
12,0.008165850304067135,7.203032566515504,7.978816975786365,19600.2
13,0.008322794921696186,7.248945208108191,7.613238340184986,19590.6
14,0.007285005412995815,7.022324123277928,7.196374008873065,19583.2
15,0.0057619307190179825,6.793474725342558,6.838371935146152,19574.9
16,0.004465031437575817,6.5443555306362455,7.492053293192118,19506.3
17,0.005757003556936979,6.5560574817333155,7.590007725525886,19479.6
18,0.005895441398024559,6.540914226763667,7.375684344993173,19467.2
19,0.006795026361942291,6.759179768097298,7.380606750252648,19440.7
20,0.006939376704394817,6.779339648090234,7.170073846254664,19429.9
25,0.008493674919009209,6.540173688012311,6.710118813336197,19356.8
30,0.010219001211225986,6.441488248321074,6.556921499580215,19269.9
40,0.013366839848458767,6.499659475589925,6.323919608890944,19089.7
50,0.011740745976567268,6.307434949570189,5.6138092999257205,18993.2
60,0.011362063698470592,6.236072595821341,5.072122552889379,18931.8
