cluster,n,classes,words
1,280,"education x1.8, history x1.7, books x1.6, english x1.6, culture x1.4","substr, frame, parent, length, document, function"
2,11954,"programming x1.0, computer x1.0, java x1.0, web x1.0, internet x1.0","work, file, need, user, import, post"
