algorithm,purity_inherited,capture_1468_true,silhouette,davies_bouldin,calinski,n_clusters,coverage,sil_w,db_w,ch_w
K-Means,0.3896,0.25,0.015020356513559818,6.574520298029415,9.936948350165217,20,1.0,0.015020356513559818,6.574520298029415,9.936948350165217
NMF,0.3897,0.2486,0.01980082504451275,8.089215056594742,9.173314470436761,20,1.0,0.01980082504451275,8.089215056594742,9.173314470436761
GMM,0.3874,0.2296,-2.5468767489655875e-05,12.793962091979152,4.772568368927336,20,1.0,-2.5468767489655875e-05,12.793962091979152,4.772568368927336
Bisecting K-Means,0.3847,0.2214,0.009052673354744911,7.128884941602783,6.493591004223086,20,1.0,0.009052673354744911,7.128884941602783,6.493591004223086
