k,sil,db,ch,inertia
2,0.012693211436271667,8.751704924788992,27.163486290184,11769.6
3,0.011269920505583286,11.40513123021224,25.91655336317428,11713.3
4,0.01339950691908598,10.089065216842947,24.140968513281422,11666.1
5,0.014088742434978485,9.69525960204356,20.969247077486507,11642.1
6,0.014376071281731129,9.878177986519162,20.35231398110324,11604.2
7,0.015183955430984497,9.724085618606548,18.751618393595656,11580.9
8,0.014099078252911568,9.673291895066983,17.38237809173817,11560.5
9,0.014231283217668533,9.86776758770428,16.30372959425958,11542.5
10,0.014902813360095024,9.565190630449358,15.179727779545647,11531.9
11,0.014321301132440567,9.250329283476177,14.264586974384756,11518.9
12,0.014498519711196423,8.99468217509321,13.806413053304802,11498.9
13,0.014394222758710384,9.00358567348407,13.14863194902378,11487.6
14,0.01458551362156868,8.831910020916757,12.569829425257685,11476.9
15,0.015168258920311928,8.728399991939584,12.100233297704477,11466.9
16,0.015183595009148121,8.559147027625858,11.762161982142477,11452.5
17,0.015104174613952637,8.719754903517853,11.47916881910124,11437.3
18,0.014965762384235859,8.619424628003145,11.145567528270677,11424.3
19,0.015519055537879467,8.28071742045066,10.747714551022467,11416.4
20,0.01564808003604412,8.25674111512669,10.417567165705062,11407.6
25,0.015387460589408875,8.344547371991315,9.130737391119855,11363.3
30,0.014582949690520763,7.988289647336168,8.184095094827304,11334.5
40,0.013026319444179535,7.597832988641099,6.967560144756272,11272.2
50,0.009096497669816017,7.141794791641639,5.988700770018359,11236.6
60,0.004457211587578058,7.026596288156583,5.052885570923178,11242.2
